GRIDSIZEKM,GRID_ID,STATE,AREA_SQKM,Albers_X,Albers_Y,Latitude,Longitude,Shape_Length,Shape_Area,GRTS_No,Sample,Surveyed2017,SiteType2017
15.000000000000000,12109.000000000000000,Wyoming,225,-1052351.375985748600215,2383293.080820166505873,43.784326309999997,-109.168850950000007,60000.000129551946884,225000000.971639573574066,Id-583,No,No,
15.000000000000000,12349.000000000000000,Wyoming,225,-1164971.139927956974134,2434447.638242208864540,44.090799320000002,-110.655039140000000,60000.000085307066911,225000000.639802962541580,Id-182,No,Yes,Bait
15.000000000000000,12350.000000000000000,Wyoming,225,-1150217.210142208728939,2431741.800972043070942,44.087011269999998,-110.467169740000003,59999.999852509892662,224999998.893824189901352,Id-566,No,No,
15.000000000000000,12351.000000000000000,Wyoming,225,-1135463.280372042441741,2429035.963757791090757,44.082957409999999,-110.279321999999993,60000.000245948023803,225000001.844610184431076,Id-250,No,No,
15.000000000000000,12352.000000000000000,Wyoming,225,-1120709.350527956848964,2426330.126542209181935,44.078637819999997,-110.091497380000007,60000.000245947361691,225000001.844605147838593,Id-529,No,No,
15.000000000000000,12353.000000000000000,Wyoming,225,-1105955.420707790646702,2423624.289327957201749,44.074052539999997,-109.903697339999994,60000.000049229289289,225000000.369219690561295,Id-511,No,No,
15.000000000000000,12354.000000000000000,Wyoming,225,-1091201.490892208414152,2420918.452072042506188,44.069201630000002,-109.715923340000003,60000.000049230795412,225000000.369230926036835,Id-354,No,No,
15.000000000000000,12355.000000000000000,Wyoming,225,-1076447.561115581775084,2418212.614855914376676,44.064085169999998,-109.528176840000000,59999.999932832542981,224999999.496244072914124,Id-400,No,No,
15.000000000000000,12356.000000000000000,Wyoming,225,-1061693.631292209029198,2415506.777622042689472,44.058703209999997,-109.340459310000000,59999.999852509063203,224999998.893818020820618,Id-174,Yes,Yes,Bait
15.000000000000000,12470.000000000000000,Idaho,225,-1206527.092184417648241,2457319.079744085669518,44.235091670000003,-111.214762289999996,59999.999932829552563,224999999.496221631765366,Id-054,Yes,Yes,Bait
15.000000000000000,12471.000000000000000,Wyoming,225,-1191773.162379833636805,2454613.242535747587681,44.232094549999999,-111.026464550000000,60000.000165628211107,225000001.242211610078812,Id-278,No,No,
15.000000000000000,12472.000000000000000,Wyoming,225,-1177019.232535748044029,2451907.405270165763795,44.228830899999998,-110.838184170000005,59999.999968908814481,224999999.766816109418869,Id-367,No,No,
15.000000000000000,12473.000000000000000,Wyoming,225,-1162265.302692208904773,2449201.568022042978555,44.225300760000003,-110.649922630000006,59999.999852511238714,224999998.893834263086319,Id-246,No,No,
15.000000000000000,12474.000000000000000,Wyoming,225,-1147511.372922042617574,2446495.730807790998369,44.221504179999997,-110.461681389999995,59999.999852510562050,224999998.893829226493835,Id-408,No,No,
15.000000000000000,12475.000000000000000,Wyoming,225,-1132757.443135747918859,2443789.893570166081190,44.217441209999997,-110.273461949999998,59999.999968909483869,224999999.766821146011353,Id-371,No,No,
15.000000000000000,12476.000000000000000,Wyoming,225,-1118003.513299999758601,2441084.056350000202656,44.213111890000000,-110.085265750000005,59999.999736112316896,224999998.020842373371124,Id-331,No,No,
15.000000000000000,12477.000000000000000,Wyoming,225,-1103249.583492208737880,2438378.219122043345124,44.208516299999999,-109.897094289999998,59999.999852511238714,224999998.893834263086319,Id-275,No,No,
15.000000000000000,12478.000000000000000,Wyoming,225,-1088495.653699999675155,2435672.381900000385940,44.203654489999998,-109.708949029999999,59999.999932831044134,224999999.496232837438583,Id-094,Yes,Yes,Lure
15.000000000000000,12479.000000000000000,Wyoming,225,-1073741.723892208654433,2432966.544672043528408,44.198526530000002,-109.520831430000001,60000.000049229965953,225000000.369224756956100,Id-432,No,No,
15.000000000000000,12480.000000000000000,Wyoming,225,-1058987.794079833431169,2430260.707435747608542,44.193132480000003,-109.332742969999998,60000.000165628211107,225000001.242211610078812,Id-553,No,No,
15.000000000000000,12492.000000000000000,Wyoming,225,-881940.636327957501635,2397790.660692208912224,44.107678970000002,-107.078486209999994,60000.000049228619901,225000000.369214683771133,Id-490,No,No,
15.000000000000000,12446.000000000000000,Idaho,225,-1560621.407677957555279,2522259.173292208928615,44.227011240000003,-115.735271330000003,60000.000013152195606,225000000.098641484975815,Id-604,No,No,
15.000000000000000,12447.000000000000000,Idaho,225,-1545867.477829834213480,2519553.336085747927427,44.230414770000003,-115.547000659999995,59999.999932831044134,224999999.496232837438583,Id-270,No,No,
15.000000000000000,12448.000000000000000,Idaho,225,-1531113.547992209205404,2516847.498822043184191,44.233551790000000,-115.358711850000006,59999.999852511238714,224999998.893834263086319,Id-537,No,No,
15.000000000000000,12449.000000000000000,Idaho,225,-1516359.618200000142679,2514141.661600000225008,44.236422259999998,-115.170406380000003,59999.999932831044134,224999999.496232837438583,Id-149,Yes,Yes,Bait
15.000000000000000,12451.000000000000000,Idaho,225,-1486851.758635748643428,2508729.987120165489614,44.241363370000002,-114.793751369999995,60000.000165628211107,225000001.242211610078812,Id-213,No,No,
15.000000000000000,12456.000000000000000,Idaho,225,-1413082.109542208956555,2495200.800972043070942,44.249049229999997,-113.851925750000007,60000.000245948023803,225000001.844610184431076,Id-181,No,No,
15.000000000000000,12459.000000000000000,Idaho,225,-1368820.320092209149152,2487083.289272043388337,44.250459759999998,-113.286760569999998,59999.999816433461092,224999998.623251020908356,Id-162,Yes,Yes,Bait
15.000000000000000,12460.000000000000000,Idaho,225,-1354066.390272042946890,2484377.452057790476829,44.250396389999999,-113.098369430000005,60000.000085307736299,225000000.639807999134064,Id-356,No,No,
15.000000000000000,12200.000000000000000,Idaho,225,-1536525.222479833988473,2487339.639135748147964,43.964547480000000,-115.350337049999993,60000.000165628211107,225000001.242211610078812,Id-065,Yes,Yes,Bait
15.000000000000000,12201.000000000000000,Idaho,225,-1521771.292657791171223,2484633.801927957218140,43.967405090000000,-115.162774540000001,59999.999852510569326,224999998.893829226493835,Id-415,No,No,
15.000000000000000,12202.000000000000000,Idaho,225,-1507017.362870166311041,2481927.964714252389967,43.969997300000003,-114.975197030000004,59999.999772190756630,224999998.291430681943893,Id-130,Yes,Yes,Bait
15.000000000000000,12203.000000000000000,Idaho,225,-1492263.433057791320607,2479222.127477957401425,43.972324080000000,-114.787605979999995,60000.000049227804993,225000000.369208484888077,Id-297,No,No,
15.000000000000000,12204.000000000000000,Idaho,225,-1477509.503220166079700,2476516.290214251726866,43.974385400000003,-114.600002840000002,59999.999736110818048,224999998.020831137895584,Id-618,No,No,
15.000000000000000,12205.000000000000000,Idaho,225,-1462755.573422042652965,2473810.453007790725678,43.976181220000001,-114.412389079999997,60000.000013152195606,225000000.098641484975815,Id-306,No,No,
